symbol,strategy,direction,regime,opened_at,closed_at,signal_score,entry_stages_filled,planned_capital_krw,used_capital_krw,total_notional_krw,average_entry,net_pnl_krw,gross_pnl_krw,fees_krw,slippage_krw,return_on_used_capital_pct,exit_reason,bars_held,funding_pnl_krw,net_pnl_before_funding_krw,fold
ETHUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-07 11:15:00+00:00,2026-02-07 12:00:00+00:00,90,1,30000,12000.0,60000.0,2006.9850000000001,-1039.3062509236001,-894.2331711182583,145.0730798053419,181.33974574647118,-8.660885424363334,STOP,4,0.0,-1039.3062509236001,FOLD_A_OLDEST
ETHUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-09 15:30:00+00:00,2026-02-09 16:30:00+00:00,85,1,24400,9760.0,48800.0,2032.7363150000003,-1127.569410441827,-1009.238324452484,118.33108598934297,147.91191950226795,-11.552965270920359,STOP,5,0.0,-1127.569410441827,FOLD_A_OLDEST
ETHUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-10 21:30:00+00:00,2026-02-11 12:00:00+00:00,85,1,30000,12000.0,60000.0,2003.7698300000002,1326.3744113906275,1468.6120768983496,142.23766550772197,177.80078631359044,11.053120094921896,STOP,59,0.0,1326.3744113906275,FOLD_A_OLDEST
ETHUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-11 18:00:00+00:00,2026-02-11 21:15:00+00:00,85,1,21000,8400.0,42000.0,1925.86686,-1137.2416466209177,-1035.199407332119,102.04223928879853,127.5507569015364,-13.538591031201399,STOP,14,0.0,-1137.2416466209177,FOLD_A_OLDEST
ETHUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-16 01:45:00+00:00,2026-02-16 09:00:00+00:00,85,1,30000,12000.0,60000.0,1957.709025,-992.130409065677,-847.1138724187745,145.01653664690252,181.26917265805605,-8.267753408880642,STOP,29,0.0,-992.130409065677,FOLD_A_OLDEST
ETHUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-23 20:30:00+00:00,2026-02-24 14:45:00+00:00,90,1,29100,11640.0,58200.0,1847.0352850000002,331.47287924631746,470.58817343819163,139.11529419187417,173.8955678282582,2.847705148164239,STOP,73,0.0,331.47287924631746,FOLD_A_OLDEST
ETHUSDT,HARD_VETO_SPLIT,SHORT,BEAR,2026-02-05 07:00:00+00:00,2026-02-05 09:00:00+00:00,95,1,22000,8800.0,44000.0,2083.43016,-1134.142526974839,-1027.309755268517,106.8327717063222,133.53895364860165,-12.887983261077714,STOP,9,0.0,-1134.142526974839,FOLD_A_OLDEST
ETHUSDT,HARD_VETO_SPLIT,SHORT,BEAR,2026-02-24 01:45:00+00:00,2026-02-24 14:45:00+00:00,100,1,29800,11920.0,59600.0,1843.65037,326.47687706979707,468.9541321112636,142.4772550414665,178.0980246691867,2.7388999754177608,STOP,52,0.0,326.47687706979707,FOLD_A_OLDEST
ETHUSDT,HARD_VETO_SHORT_ONLY,SHORT,BEAR,2026-02-05 07:00:00+00:00,2026-02-05 09:00:00+00:00,95,1,22000,8800.0,44000.0,2083.43016,-1134.142526974839,-1027.309755268517,106.8327717063222,133.53895364860165,-12.887983261077714,STOP,9,0.0,-1134.142526974839,FOLD_A_OLDEST
ETHUSDT,HARD_VETO_SHORT_ONLY,SHORT,BEAR,2026-02-24 01:45:00+00:00,2026-02-24 14:45:00+00:00,100,1,29800,11920.0,59600.0,1843.65037,326.47687706979707,468.9541321112636,142.4772550414665,178.0980246691867,2.7388999754177608,STOP,52,0.0,326.47687706979707,FOLD_A_OLDEST
ETHUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-03-03 00:45:00+00:00,2026-03-03 01:45:00+00:00,85,1,30000,12000.0,60000.0,2037.9423350000002,-809.547877842899,-666.347494836703,143.20038300619595,178.99938222448782,-6.74623231535749,STOP,5,0.0,-809.547877842899,FOLD_B_MIDDLE
ETHUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-03-08 14:30:00+00:00,2026-03-08 19:30:00+00:00,95,1,30000,12000.0,60000.0,1939.2267900000002,-965.9058918037013,-820.9207868594699,144.98510494423135,181.2299418758907,-8.049215765030844,STOP,21,0.0,-965.9058918037013,FOLD_B_MIDDLE
ETHUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-03-16 12:45:00+00:00,2026-03-16 23:00:00+00:00,90,2,30000,21000.0,105000.0,2297.515464378607,2134.9738553814495,2389.841665379906,254.8678099984559,318.59085647125164,10.166542168483094,STOP,42,0.0,2134.9738553814495,FOLD_B_MIDDLE
ETHUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-03-17 14:15:00+00:00,2026-03-17 15:30:00+00:00,90,1,30000,12000.0,60000.0,2334.326245,-1014.631507171805,-871.6775201960402,142.95398697576474,178.69092449986522,-8.45526255976504,STOP,6,0.0,-1014.631507171805,FOLD_B_MIDDLE
ETHUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-03-17 17:45:00+00:00,2026-03-18 11:00:00+00:00,95,1,30000,12000.0,60000.0,2335.8385100000005,-1063.8423495517077,-920.9474865355504,142.89486301615733,178.61690852640496,-8.865352912930897,STOP,70,0.0,-1063.8423495517077,FOLD_B_MIDDLE
ETHUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-03-22 11:15:00+00:00,2026-03-22 22:15:00+00:00,90,1,30000,12000.0,60000.0,2077.77865,580.6408325638714,723.7723057969151,143.13147323304372,178.91637259083052,4.838673604698929,STOP,45,0.0,580.6408325638714,FOLD_B_MIDDLE
