timeframe,plan,symbol,signal_time,opened_at,closed_at,holding_hours,signal_score,entry_stages,initial_entry_fill,average_entry_final,initial_stop_price,initial_r_price,exit_reason,gross_pnl_krw,entry_fees_krw,exit_fees_krw,total_fees_krw,estimated_slippage_krw,net_pnl_krw,net_r,scope
15m,EXPECTANCY_2R_3R_5R,SOLUSDT,2025-10-28T03:15:00+00:00,2025-10-28T03:30:00+00:00,2025-10-28T05:45:00+00:00,2.25,100.0,1,201.78222,201.78222,198.98769664276645,3.0930049021976913,STOP,-389.4850143771084,30.49118382007206,30.023801802819538,60.5149856228916,75.64302588414078,-450.0,-0.3,FULL
15m,EXPECTANCY_2R_3R_5R,XRPUSDT,2025-11-28T08:00:00+00:00,2025-11-28T08:15:00+00:00,2025-11-28T11:15:00+00:00,3.0,100.0,3,2.21241365,2.224714874237708,2.191761784013196,0.02393950866282335,STOP,-1308.7530531721352,96.40872524584127,94.83822158203472,191.246946827876,239.05627671709604,-1500.0000000000111,-1.0000000000000073,FULL
15m,EXPECTANCY_2R_3R_5R,BTCUSDT,2025-12-08T08:45:00+00:00,2025-12-08T09:00:00+00:00,2025-12-08T14:15:00+00:00,5.25,100.0,1,91928.18575,91928.18575,91254.0551898942,811.0116428906331,STOP,-354.09648988420213,48.16421295182946,47.739297163968416,95.90351011579787,119.8788606550809,-450.0,-0.3,FULL
15m,EXPECTANCY_2R_3R_5R,DOGEUSDT,2025-12-10T19:45:00+00:00,2025-12-10T20:00:00+00:00,2025-12-10T21:00:00+00:00,1.0,100.0,2,0.14766115999999999,0.14829453829483746,0.14513861840890813,0.002740249518705218,STOP,-814.9982969332495,42.989850511534094,42.0118525552142,85.00170306674829,106.2505341509701,-899.9999999999978,-0.5999999999999985,FULL
15m,EXPECTANCY_2R_3R_5R,ETHUSDT,2026-01-01T11:00:00+00:00,2026-01-01T11:15:00+00:00,2026-01-01T14:00:00+00:00,2.75,100.0,1,2989.1069450000005,2989.1069450000005,2978.303278929272,15.27112098912221,STOP,-229.90159173127188,54.0,53.72411808992247,107.72411808992247,134.65493330742427,-337.62570982119433,-0.22508380654746288,FULL
15m,EXPECTANCY_2R_3R_5R,SOLUSDT,2026-01-01T22:30:00+00:00,2026-01-01T22:45:00+00:00,2026-01-02T11:00:00+00:00,12.25,100.0,3,125.8815395,126.39370003231318,125.16624868972409,0.9030401833104946,STOP,1231.1720672017336,130.78652637375924,132.51860835963447,263.30513473339374,329.13540662513367,967.8669324683399,0.64524462164556,FULL
15m,EXPECTANCY_2R_3R_5R,SOLUSDT,2026-01-03T00:00:00+00:00,2026-01-03T00:15:00+00:00,2026-01-03T06:30:00+00:00,6.25,100.0,1,132.91908,132.91908,131.4226031243873,1.6936107802992808,STOP,-379.0564136602229,35.699227018084656,35.244359321692386,70.94358633977704,88.67882957515914,-449.99999999999994,-0.3,FULL
15m,EXPECTANCY_2R_3R_5R,BTCUSDT,2026-01-03T16:30:00+00:00,2026-01-03T16:45:00+00:00,2026-01-05T01:00:00+00:00,32.25,100.0,3,90222.63125,90553.0078365354,89841.21726109574,516.1758147959044,TP3,1712.3159737551696,144.67936170245065,146.965662537465,291.64502423991564,364.5613873770785,1420.670949515254,0.9471139663435028,FULL
15m,EXPECTANCY_2R_3R_5R,XRPUSDT,2026-01-06T06:00:00+00:00,2026-01-06T06:15:00+00:00,2026-01-06T07:15:00+00:00,1.0,100.0,1,2.3966896500000003,2.3966896500000003,2.361718698986022,0.038513529062456975,STOP,-391.93432350667405,29.267998840767,28.797677652558992,58.065676493325995,72.58137707252897,-450.00000000000006,-0.30000000000000004,FULL
15m,EXPECTANCY_2R_3R_5R,SOLUSDT,2026-01-09T07:15:00+00:00,2026-01-09T07:30:00+00:00,2026-01-09T08:00:00+00:00,0.5,100.0,1,140.654666,140.654666,139.21790220172642,1.645590651576157,STOP,-373.7737732150258,38.33737765641614,37.88884912855811,76.22622678497424,95.2821568750802,-450.00000000000006,-0.30000000000000004,FULL
15m,EXPECTANCY_2R_3R_5R,SOLUSDT,2026-01-12T06:00:00+00:00,2026-01-12T06:15:00+00:00,2026-01-12T06:30:00+00:00,0.25,100.0,1,143.3216605,143.3216605,142.24377967108276,1.2912464984238738,STOP,-355.6784933917806,47.3741604001448,46.94734620807466,94.32150660821947,117.9013482617014,-450.00000000000006,-0.30000000000000004,FULL
15m,EXPECTANCY_2R_3R_5R,ETHUSDT,2026-01-13T21:15:00+00:00,2026-01-13T21:30:00+00:00,2026-01-14T06:00:00+00:00,8.5,100.0,3,3214.564625,3231.700742077984,3186.277286958077,33.06675397235995,STOP,1646.8886153215994,100.46962009035408,102.70991833539783,203.1795384257519,253.97919504458258,1443.7090768958476,0.9624727179305651,FULL
15m,EXPECTANCY_2R_3R_5R,ETHUSDT,2026-01-15T12:30:00+00:00,2026-01-15T12:45:00+00:00,2026-01-15T14:30:00+00:00,1.75,100.0,2,3362.0355000000004,3369.302767942232,3340.38897145029,26.65711200688611,STOP,-727.470666952901,86.70114892372314,85.82818412337966,172.5293330471028,215.66051473604273,-900.0000000000038,-0.6000000000000025,FULL
15m,EXPECTANCY_2R_3R_5R,DOGEUSDT,2026-02-15T01:30:00+00:00,2026-02-15T01:45:00+00:00,2026-02-15T12:45:00+00:00,11.0,100.0,3,0.11250851,0.11379204938073186,0.10992271671013307,0.002750677364932133,STOP,-1406.4748458488789,47.60646198306869,45.91869216805003,93.52515415111873,116.90354115346314,-1499.9999999999977,-0.9999999999999984,FULL
15m,EXPECTANCY_2R_3R_5R,SOLUSDT,2026-03-05T12:45:00+00:00,2026-03-05T13:00:00+00:00,2026-03-05T13:15:00+00:00,0.25,100.0,1,92.065892,92.065892,91.10500793539578,1.097541576507325,STOP,-374.9621989768359,37.74387783096815,37.29392319219594,75.03780102316409,93.79661865640273,-450.0,-0.3,FULL
15m,EXPECTANCY_2R_3R_5R,SOLUSDT,2026-03-12T14:00:00+00:00,2026-03-12T14:15:00+00:00,2026-03-12T14:30:00+00:00,0.25,100.0,1,87.322788,87.322788,86.20009897836577,1.2519891701017798,STOP,-385.87082562178705,32.2961096844795,31.833064693733352,64.12917437821285,80.1607801251671,-449.9999999999999,-0.29999999999999993,FULL
15m,BALANCED_1_5R_2_5R_4R,XRPUSDT,2025-02-16T04:00:00+00:00,2025-02-16T04:15:00+00:00,2025-02-16T07:45:00+00:00,3.5,100.0,2,2.7892776500000003,2.7969442382709495,2.7631288406275156,0.030293502633425895,STOP,-765.5438389899916,67.68740680839927,66.76875420161129,134.45616101001056,168.06885694380745,-900.0000000000022,-0.6000000000000014,FULL
15m,BALANCED_1_5R_2_5R_4R,ETHUSDT,2025-02-20T13:45:00+00:00,2025-02-20T14:00:00+00:00,2025-02-20T14:45:00+00:00,0.75,100.0,2,2748.726915,2754.7002013855836,2730.8705094489956,21.95271131517802,STOP,-728.4247525862063,86.2246785584498,85.35056885534634,171.57524741379615,214.46790286433435,-900.0000000000025,-0.6000000000000016,FULL
15m,BALANCED_1_5R_2_5R_4R,BTCUSDT,2025-02-21T10:00:00+00:00,2025-02-21T10:15:00+00:00,2025-02-21T15:15:00+00:00,5.0,100.0,3,98532.9781,98918.63034011082,98029.85518069418,650.1677020768402,STOP,-1184.5123497206557,135.7421317931167,134.3207169734519,270.0628487665686,337.5766553528889,-1454.5751984872243,-0.9697167989914829,FULL
15m,BALANCED_1_5R_2_5R_4R,XRPUSDT,2025-03-06T04:30:00+00:00,2025-03-06T04:45:00+00:00,2025-03-06T09:00:00+00:00,4.25,100.0,3,2.5280864500000004,2.54592272086011,2.495669929287975,0.036160025605957546,STOP,176.82301665172713,76.32461637608083,76.69721890416166,153.0218352802425,191.27842310649083,23.80118137148463,0.01586745424765642,FULL
15m,BALANCED_1_5R_2_5R_4R,XRPUSDT,2025-03-20T13:45:00+00:00,2025-03-20T14:00:00+00:00,2025-03-20T15:00:00+00:00,1.0,100.0,1,2.5051521,2.5051521,2.463768740433515,0.04507901267713521,STOP,-397.46543215659034,26.505763180998787,26.028804662410874,52.53456784340966,65.66746325883202,-450.0,-0.3,FULL
15m,BALANCED_1_5R_2_5R_4R,SOLUSDT,2025-03-24T07:45:00+00:00,2025-03-24T08:00:00+00:00,2025-03-24T14:15:00+00:00,6.25,100.0,3,139.02823,139.872467113867,137.56432747171158,1.6702490194959978,STOP,1085.072209433271,88.42854093397852,89.99581709151636,178.42435802549488,223.03388800091278,906.647851407776,0.6044319009385173,FULL
15m,BALANCED_1_5R_2_5R_4R,SOLUSDT,2025-03-25T12:30:00+00:00,2025-03-25T12:45:00+00:00,2025-03-25T16:15:00+00:00,3.5,100.0,3,142.75381,143.80356742705047,140.82395038388606,2.141095541689765,STOP,183.20917945589613,73.28291200776727,73.66325128331357,146.94616329108084,183.68383053861407,36.2630161648153,0.024175344109876866,FULL
15m,BALANCED_1_5R_2_5R_4R,BTCUSDT,2025-03-26T10:15:00+00:00,2025-03-26T10:30:00+00:00,2025-03-26T12:15:00+00:00,1.75,100.0,1,88247.27265000001,88247.27265000001,87748.72623697277,630.1695023827051,STOP,-321.34282177412683,54.0,53.61438861387106,107.61438861387106,134.51756541051645,-428.95721038799786,-0.2859714735919986,FULL
15m,BALANCED_1_5R_2_5R_4R,SOLUSDT,2025-04-12T11:00:00+00:00,2025-04-12T11:15:00+00:00,2025-04-12T14:30:00+00:00,3.25,100.0,3,125.09636350000001,125.84420067835049,123.80668246228403,1.4753910614093968,TP3,1793.8924245049393,89.7965504593521,92.21428014489871,182.01083060425083,227.51858341528288,1611.8815939006886,1.0745877292671258,FULL
15m,BALANCED_1_5R_2_5R_4R,BTCUSDT,2025-04-13T00:45:00+00:00,2025-04-13T01:00:00+00:00,2025-04-13T02:15:00+00:00,1.25,100.0,2,85598.30515000001,85808.91578823407,84919.21591401061,806.4680598604173,STOP,-749.1988269802035,75.85010580608991,74.95106721371369,150.8011730198036,188.5002047028544,-900.0000000000072,-0.6000000000000048,FULL
